,jahr,arbeit_betrag,bildung_betrag,gleichstellung_betrag,arbeitslos
0,2014,0.05028359627717158,0.0,0.00017217122368611804,1.0
1,2015,0.012563750276890162,0.07099225330892117,0.00011177572070383745,0.838869805214145
2,2016,0.0,0.12059618721260412,0.0,0.5649782578480234
3,2017,0.08901229757879489,0.5706772926133652,0.9999999999999999,0.3261719913428509
4,2018,0.8300204770926359,0.709764688058876,0.8017155707896605,0.07279153346702927
5,2019,0.45687033753911777,0.31292026538887463,0.6337558842438753,0.0
6,2020,1.0,0.652764179170416,0.6899661705738256,0.7958024740384806
7,2021,0.9999950478646287,1.0,0.7659478410136137,0.910112582649961
